match_id,Gameweek,Date,Time,Result,Day,HomeGoals,AwayGoals,Status,Season
2023000,1,9/18/2023,6:00 PM,2:00,Mon,2,0,HomeWin,2023-2024
2023001,1,9/19/2023,3:00 PM,1:00,Tue,1,0,HomeWin,2023-2024
2023002,1,9/19/2023,6:00 PM,4:00,Tue,4,0,HomeWin,2023-2024
2023003,1,9/20/2023,3:00 PM,1:00,Wed,1,0,HomeWin,2023-2024
2023004,1,9/20/2023,6:00 PM,0:02,Wed,0,2,AwayWin,2023-2024
2023005,1,9/20/2023,,1:01,Wed,1,1,Tie,2023-2024
2023006,1,9/21/2023,3:00 PM,0:02,Thu,0,2,AwayWin,2023-2024
2023007,1,9/21/2023,6:00 PM,1:00,Thu,1,0,HomeWin,2023-2024
2023008,1,9/21/2023,,2:02,Thu,2,2,Tie,2023-2024
2023009,2,9/25/2023,5:00 PM,0:01,Mon,0,1,AwayWin,2023-2024
2023010,2,9/25/2023,,1:01,Mon,1,1,Tie,2023-2024
2023011,2,9/26/2023,3:00 PM,0:02,Tue,0,2,AwayWin,2023-2024
2023012,2,9/26/2023,6:00 PM,2:01,Tue,2,1,HomeWin,2023-2024
2023013,2,9/27/2023,3:00 PM,0:00,Wed,0,0,Tie,2023-2024
2023014,2,9/27/2023,6:00 PM,1:02,Wed,1,2,AwayWin,2023-2024
2023015,2,9/27/2023,,0:01,Wed,0,1,AwayWin,2023-2024
2023016,2,9/28/2023,3:00 PM,1:00,Thu,1,0,HomeWin,2023-2024
2023017,2,9/28/2023,6:00 PM,3:01,Thu,3,1,HomeWin,2023-2024
2023018,3,10/5/2023,3:00 PM,3:03,Thu,3,3,Tie,2023-2024
2023019,3,10/5/2023,6:00 PM,2:01,Thu,2,1,HomeWin,2023-2024
2023020,3,10/6/2023,3:00 PM,2:02,Fri,2,2,Tie,2023-2024
2023021,3,10/6/2023,6:00 PM,2:02,Fri,2,2,Tie,2023-2024
2023022,3,10/7/2023,3:00 PM,1:03,Sat,1,3,AwayWin,2023-2024
2023023,3,10/7/2023,6:00 PM,1:02,Sat,1,2,AwayWin,2023-2024
2023024,3,10/7/2023,,0:02,Sat,0,2,AwayWin,2023-2024
2023025,3,10/8/2023,6:00 PM,3:01,Sun,3,1,HomeWin,2023-2024
2023026,3,10/8/2023,,1:00,Sun,1,0,HomeWin,2023-2024
2023027,4,10/20/2023,3:00 PM,1:00,Fri,1,0,HomeWin,2023-2024
2023028,4,10/20/2023,,4:00,Fri,4,0,HomeWin,2023-2024
2023029,4,10/21/2023,3:00 PM,2:02,Sat,2,2,Tie,2023-2024
2023030,4,10/21/2023,6:00 PM,5:01,Sat,5,1,HomeWin,2023-2024
2023031,4,10/21/2023,,3:01,Sat,3,1,HomeWin,2023-2024
2023032,4,10/22/2023,3:00 PM,3:03,Sun,3,3,Tie,2023-2024
2023033,4,10/22/2023,6:00 PM,0:01,Sun,0,1,AwayWin,2023-2024
2023034,4,10/22/2023,,0:01,Sun,0,1,AwayWin,2023-2024
2023035,4,11/11/2023,4:00 PM,1:01,Sat,1,1,Tie,2023-2024
2023036,5,10/27/2023,4:00 PM,3:02,Fri,3,2,HomeWin,2023-2024
2023037,5,10/27/2023,7:00 PM,2:01,Fri,2,1,HomeWin,2023-2024
2023038,5,10/28/2023,4:00 PM,0:01,Sat,0,1,AwayWin,2023-2024
2023039,5,10/28/2023,7:00 PM,1:01,Sat,1,1,Tie,2023-2024
2023040,5,10/28/2023,,3:02,Sat,3,2,HomeWin,2023-2024
2023041,5,10/29/2023,3:00 PM,1:00,Sun,1,0,HomeWin,2023-2024
2023042,5,10/30/2023,3:00 PM,0:00,Mon,0,0,Tie,2023-2024
2023043,5,10/30/2023,6:00 PM,1:02,Mon,1,2,AwayWin,2023-2024
2023044,5,2/27/2024,6:00 PM,5:01,Tue,5,1,HomeWin,2023-2024
2023045,6,11/3/2023,3:00 PM,0:01,Fri,0,1,AwayWin,2023-2024
2023046,6,11/3/2023,6:00 PM,2:00,Fri,2,0,HomeWin,2023-2024
2023047,6,11/3/2023,,1:02,Fri,1,2,AwayWin,2023-2024
2023048,6,11/4/2023,3:00 PM,2:00,Sat,2,0,HomeWin,2023-2024
2023049,6,11/4/2023,6:00 PM,3:02,Sat,3,2,HomeWin,2023-2024
2023050,6,11/4/2023,,1:02,Sat,1,2,AwayWin,2023-2024
2023051,6,11/5/2023,3:00 PM,2:03,Sun,2,3,AwayWin,2023-2024
2023052,6,11/5/2023,6:00 PM,0:01,Sun,0,1,AwayWin,2023-2024
2023053,6,11/5/2023,,0:04,Sun,0,4,AwayWin,2023-2024
2023054,7,11/28/2023,3:00 PM,2:01,Tue,2,1,HomeWin,2023-2024
2023055,7,11/28/2023,6:00 PM,0:00,Tue,0,0,Tie,2023-2024
2023056,7,11/29/2023,6:00 PM,0:02,Wed,0,2,AwayWin,2023-2024
2023057,7,11/30/2023,3:00 PM,0:00,Thu,0,0,Tie,2023-2024
2023058,7,11/30/2023,6:00 PM,1:01,Thu,1,1,Tie,2023-2024
2023059,7,11/30/2023,,1:01,Thu,1,1,Tie,2023-2024
2023060,7,12/1/2023,3:00 PM,1:02,Fri,1,2,AwayWin,2023-2024
2023061,7,12/1/2023,,0:00,Fri,0,0,Tie,2023-2024
2023062,7,12/1/2023,6:00 PM,0:01,Fri,0,1,AwayWin,2023-2024
2023063,8,12/4/2023,6:00 PM,2:01,Mon,2,1,HomeWin,2023-2024
2023064,8,12/5/2023,3:00 PM,0:02,Tue,0,2,AwayWin,2023-2024
2023065,8,12/5/2023,6:00 PM,4:02,Tue,4,2,HomeWin,2023-2024
2023066,8,12/5/2023,,2:01,Tue,2,1,HomeWin,2023-2024
2023067,8,12/6/2023,6:00 PM,0:00,Wed,0,0,Tie,2023-2024
2023068,8,4/9/2024,10:00 PM,0:04,Tue,0,4,AwayWin,2023-2024
2023069,8,4/11/2024,4:00 PM,1:02,Thu,1,2,AwayWin,2023-2024
2023070,8,4/11/2024,7:00 PM,0:01,Thu,0,1,AwayWin,2023-2024
2023071,8,4/11/2024,,3:00,Thu,3,0,HomeWin,2023-2024
2023072,9,12/14/2023,3:00 PM,2:03,Thu,2,3,AwayWin,2023-2024
2023073,9,12/14/2023,,1:01,Thu,1,1,Tie,2023-2024
2023074,9,12/14/2023,6:00 PM,1:00,Thu,1,0,HomeWin,2023-2024
2023075,9,12/14/2023,,2:02,Thu,2,2,Tie,2023-2024
2023076,9,12/15/2023,3:00 PM,0:00,Fri,0,0,Tie,2023-2024
2023077,9,12/15/2023,5:00 PM,1:02,Fri,1,2,AwayWin,2023-2024
2023078,9,12/15/2023,,1:02,Fri,1,2,AwayWin,2023-2024
2023079,9,12/16/2023,6:00 PM,1:00,Sat,1,0,HomeWin,2023-2024
2023080,9,5/7/2024,6:00 PM,4:01,Tue,4,1,HomeWin,2023-2024
2023081,10,12/25/2023,3:00 PM,1:02,Mon,1,2,AwayWin,2023-2024
2023082,10,12/25/2023,6:00 PM,0:02,Mon,0,2,AwayWin,2023-2024
2023083,10,12/26/2023,6:00 PM,3:01,Tue,3,1,HomeWin,2023-2024
2023084,10,12/27/2023,3:00 PM,3:01,Wed,3,1,HomeWin,2023-2024
2023085,10,12/27/2023,6:00 PM,1:00,Wed,1,0,HomeWin,2023-2024
2023086,10,4/14/2024,4:00 PM,1:01,Sun,1,1,Tie,2023-2024
2023087,10,4/14/2024,7:00 PM,1:01,Sun,1,1,Tie,2023-2024
2023088,10,4/15/2024,4:00 PM,0:02,Mon,0,2,AwayWin,2023-2024
2023089,10,4/15/2024,7:00 PM,2:01,Mon,2,1,HomeWin,2023-2024
2023090,11,12/30/2023,3:00 PM,3:01,Sat,3,1,HomeWin,2023-2024
2023091,11,12/30/2023,6:00 PM,1:00,Sat,1,0,HomeWin,2023-2024
2023092,11,12/30/2023,,3:00,Sat,3,0,HomeWin,2023-2024
2023093,11,1/1/2024,3:00 PM,0:01,Mon,0,1,AwayWin,2023-2024
