match_id,Gameweek,Date,Time,Result,Day,HomeGoals,AwayGoals,Status,Season
2018000,1,7/31/2018,6:00 PM,1:01,Tue,1,1,Tie,2018-2019
2018001,1,7/31/2018,9:00 PM,0:00,Tue,0,0,Tie,2018-2019
2018002,1,8/1/2018,4:00 PM,1:01,Wed,1,1,Tie,2018-2019
2018003,1,8/1/2018,6:15 PM,2:01,Wed,2,1,HomeWin,2018-2019
2018004,1,8/1/2018,9:00 PM,0:00,Wed,0,0,Tie,2018-2019
2018005,1,8/2/2018,6:00 PM,0:01,Thu,0,1,AwayWin,2018-2019
2018006,1,8/2/2018,9:00 PM,1:01,Thu,1,1,Tie,2018-2019
2018007,1,8/3/2018,6:00 PM,1:02,Fri,1,2,AwayWin,2018-2019
2018008,1,8/3/2018,9:00 PM,0:01,Fri,0,1,AwayWin,2018-2019
2018009,2,8/4/2018,8:00 PM,5:01,Sat,5,1,HomeWin,2018-2019
2018010,2,8/6/2018,4:30 PM,1:02,Mon,1,2,AwayWin,2018-2019
2018011,2,8/6/2018,6:45 PM,0:00,Mon,0,0,Tie,2018-2019
2018012,2,8/6/2018,9:00 PM,1:03,Mon,1,3,AwayWin,2018-2019
2018013,2,8/7/2018,8:00 PM,0:02,Tue,0,2,AwayWin,2018-2019
2018014,2,8/8/2018,4:30 PM,1:01,Wed,1,1,Tie,2018-2019
2018015,2,8/8/2018,6:45 PM,1:02,Wed,1,2,AwayWin,2018-2019
2018016,2,8/8/2018,,0:00,Wed,0,0,Tie,2018-2019
2018017,2,8/8/2018,9:00 PM,0:03,Wed,0,3,AwayWin,2018-2019
2018018,3,8/14/2018,4:00 PM,0:01,Tue,0,1,AwayWin,2018-2019
2018019,3,8/14/2018,6:15 PM,1:01,Tue,1,1,Tie,2018-2019
2018020,3,8/14/2018,,2:03,Tue,2,3,AwayWin,2018-2019
2018021,3,8/14/2018,,2:02,Tue,2,2,Tie,2018-2019
2018022,3,8/14/2018,9:00 PM,1:02,Tue,1,2,AwayWin,2018-2019
2018023,3,8/15/2018,8:00 PM,0:02,Wed,0,2,AwayWin,2018-2019
2018024,3,8/16/2018,9:00 PM,0:01,Thu,0,1,AwayWin,2018-2019
2018025,3,8/17/2018,6:00 PM,1:00,Fri,1,0,HomeWin,2018-2019
2018026,3,8/21/2018,8:00 PM,1:00,Tue,1,0,HomeWin,2018-2019
2018027,4,8/10/2018,8:00 PM,0:02,Fri,0,2,AwayWin,2018-2019
2018028,4,8/24/2018,4:00 PM,1:02,Fri,1,2,AwayWin,2018-2019
2018029,4,8/24/2018,6:15 PM,1:00,Fri,1,0,HomeWin,2018-2019
2018030,4,8/24/2018,9:00 PM,0:02,Fri,0,2,AwayWin,2018-2019
2018031,4,8/25/2018,5:30 PM,2:02,Sat,2,2,Tie,2018-2019
2018032,4,8/26/2018,4:00 PM,0:00,Sun,0,0,Tie,2018-2019
2018033,4,8/26/2018,6:15 PM,3:01,Sun,3,1,HomeWin,2018-2019
2018034,4,8/26/2018,9:00 PM,0:00,Sun,0,0,Tie,2018-2019
2018035,4,8/27/2018,8:00 PM,0:01,Mon,0,1,AwayWin,2018-2019
2018036,5,8/31/2018,6:00 PM,0:00,Fri,0,0,Tie,2018-2019
2018037,5,8/31/2018,,1:01,Fri,1,1,Tie,2018-2019
2018038,5,8/31/2018,9:00 PM,3:02,Fri,3,2,HomeWin,2018-2019
2018039,5,8/31/2018,,3:01,Fri,3,1,HomeWin,2018-2019
2018040,5,9/1/2018,9:00 PM,1:04,Sat,1,4,AwayWin,2018-2019
2018041,5,9/2/2018,6:00 PM,1:01,Sun,1,1,Tie,2018-2019
2018042,5,9/2/2018,9:00 PM,0:00,Sun,0,0,Tie,2018-2019
2018043,5,9/3/2018,8:00 PM,0:00,Mon,0,0,Tie,2018-2019
2018044,5,9/28/2018,5:00 PM,2:02,Fri,2,2,Tie,2018-2019
2018045,6,9/11/2018,6:00 PM,5:03,Tue,5,3,HomeWin,2018-2019
2018046,6,9/12/2018,3:30 PM,2:01,Wed,2,1,HomeWin,2018-2019
2018047,6,9/12/2018,,1:01,Wed,1,1,Tie,2018-2019
2018048,6,9/12/2018,6:00 PM,2:01,Wed,2,1,HomeWin,2018-2019
2018049,6,9/12/2018,9:00 PM,1:01,Wed,1,1,Tie,2018-2019
2018050,6,9/12/2018,,1:02,Wed,1,2,AwayWin,2018-2019
2018051,6,9/13/2018,6:00 PM,3:02,Thu,3,2,HomeWin,2018-2019
2018052,6,9/13/2018,9:00 PM,3:00,Thu,3,0,HomeWin,2018-2019
2018053,6,12/29/2018,5:00 PM,2:02,Sat,2,2,Tie,2018-2019
2018054,7,9/17/2018,6:00 PM,1:01,Mon,1,1,Tie,2018-2019
2018055,7,9/17/2018,,1:01,Mon,1,1,Tie,2018-2019
2018056,7,9/17/2018,9:00 PM,0:01,Mon,0,1,AwayWin,2018-2019
2018057,7,9/17/2018,,3:00,Mon,3,0,HomeWin,2018-2019
2018058,7,9/18/2018,3:30 PM,3:00,Tue,3,0,HomeWin,2018-2019
2018059,7,9/18/2018,6:00 PM,1:01,Tue,1,1,Tie,2018-2019
2018060,7,9/19/2018,9:00 PM,0:01,Wed,0,1,AwayWin,2018-2019
2018061,7,11/29/2018,6:00 PM,1:03,Thu,1,3,AwayWin,2018-2019
2018062,7,12/5/2018,7:00 PM,2:01,Wed,2,1,HomeWin,2018-2019
2018063,8,9/21/2018,3:30 PM,3:00,Fri,3,0,HomeWin,2018-2019
2018064,8,9/21/2018,6:00 PM,1:02,Fri,1,2,AwayWin,2018-2019
2018065,8,9/22/2018,3:30 PM,1:02,Sat,1,2,AwayWin,2018-2019
2018066,8,9/22/2018,6:00 PM,1:03,Sat,1,3,AwayWin,2018-2019
2018067,8,9/23/2018,3:30 PM,1:00,Sun,1,0,HomeWin,2018-2019
2018068,8,9/23/2018,9:00 PM,2:01,Sun,2,1,HomeWin,2018-2019
2018069,8,9/24/2018,6:00 PM,1:02,Mon,1,2,AwayWin,2018-2019
2018070,8,9/28/2018,7:00 PM,1:01,Fri,1,1,Tie,2018-2019
2018071,8,1/4/2019,5:00 PM,2:01,Fri,2,1,HomeWin,2018-2019
2018072,9,9/30/2018,6:00 PM,0:01,Sun,0,1,AwayWin,2018-2019
2018073,9,9/30/2018,9:00 PM,0:01,Sun,0,1,AwayWin,2018-2019
2018074,9,10/1/2018,6:00 PM,0:00,Mon,0,0,Tie,2018-2019
2018075,9,10/2/2018,5:30 PM,2:01,Tue,2,1,HomeWin,2018-2019
2018076,9,10/3/2018,9:00 PM,1:02,Wed,1,2,AwayWin,2018-2019
2018077,9,12/1/2018,5:00 PM,0:01,Sat,0,1,AwayWin,2018-2019
2018078,9,12/30/2018,3:00 PM,0:00,Sun,0,0,Tie,2018-2019
2018079,9,1/2/2019,5:00 PM,1:02,Wed,1,2,AwayWin,2018-2019
2018080,9,1/24/2019,7:00 PM,3:03,Thu,3,3,Tie,2018-2019
2018081,10,10/3/2018,6:00 PM,3:03,Wed,3,3,Tie,2018-2019
2018082,10,10/5/2018,3:00 PM,1:02,Fri,1,2,AwayWin,2018-2019
2018083,10,10/5/2018,6:00 PM,2:02,Fri,2,2,Tie,2018-2019
2018084,10,10/6/2018,6:00 PM,0:00,Sat,0,0,Tie,2018-2019
2018085,10,10/7/2018,3:00 PM,1:03,Sun,1,3,AwayWin,2018-2019
2018086,10,10/7/2018,6:00 PM,0:01,Sun,0,1,AwayWin,2018-2019
2018087,10,10/7/2018,9:00 PM,3:04,Sun,3,4,AwayWin,2018-2019
2018088,10,1/25/2019,4:00 PM,1:00,Fri,1,0,HomeWin,2018-2019
2018089,10,4/18/2019,5:00 PM,0:02,Thu,0,2,AwayWin,2018-2019
