match_id,Gameweek,Date,Time,Result,Day,HomeGoals,AwayGoals,Status,Season
2017000,1,9/8/2017,5:00 PM,1:01,Fri,1,1,Tie,2017-2018
2017001,1,9/8/2017,7:30 PM,3:00,Fri,3,0,HomeWin,2017-2018
2017002,1,9/9/2017,3:00 PM,0:00,Sat,0,0,Tie,2017-2018
2017003,1,9/9/2017,5:30 PM,2:04,Sat,2,4,AwayWin,2017-2018
2017004,1,9/9/2017,8:15 PM,1:01,Sat,1,1,Tie,2017-2018
2017005,1,9/10/2017,3:00 PM,1:01,Sun,1,1,Tie,2017-2018
2017006,1,9/10/2017,5:30 PM,1:00,Sun,1,0,HomeWin,2017-2018
2017007,1,9/10/2017,8:15 PM,1:01,Sun,1,1,Tie,2017-2018
2017008,1,9/11/2017,7:00 PM,1:01,Mon,1,1,Tie,2017-2018
2017009,2,9/14/2017,5:00 PM,0:01,Thu,0,1,AwayWin,2017-2018
2017010,2,9/14/2017,7:30 PM,2:02,Thu,2,2,Tie,2017-2018
2017011,2,9/15/2017,7:00 PM,0:02,Fri,0,2,AwayWin,2017-2018
2017012,2,9/16/2017,3:00 PM,2:03,Sat,2,3,AwayWin,2017-2018
2017013,2,9/16/2017,5:00 PM,2:01,Sat,2,1,HomeWin,2017-2018
2017014,2,9/17/2017,3:00 PM,2:00,Sun,2,0,HomeWin,2017-2018
2017015,2,9/17/2017,5:30 PM,1:01,Sun,1,1,Tie,2017-2018
2017016,2,9/17/2017,8:15 PM,3:00,Sun,3,0,HomeWin,2017-2018
2017017,2,12/10/2017,6:00 PM,3:02,Sun,3,2,HomeWin,2017-2018
2017018,3,9/21/2017,3:00 PM,0:02,Thu,0,2,AwayWin,2017-2018
2017019,3,9/21/2017,5:30 PM,1:01,Thu,1,1,Tie,2017-2018
2017020,3,9/21/2017,8:00 PM,1:00,Thu,1,0,HomeWin,2017-2018
2017021,3,9/22/2017,3:00 PM,3:01,Fri,3,1,HomeWin,2017-2018
2017022,3,9/22/2017,5:30 PM,3:02,Fri,3,2,HomeWin,2017-2018
2017023,3,9/22/2017,8:15 PM,1:02,Fri,1,2,AwayWin,2017-2018
2017024,3,9/23/2017,3:00 PM,0:02,Sat,0,2,AwayWin,2017-2018
2017025,3,9/23/2017,5:00 PM,1:02,Sat,1,2,AwayWin,2017-2018
2017026,3,10/16/2017,7:00 PM,4:01,Mon,4,1,HomeWin,2017-2018
2017027,4,9/27/2017,5:00 PM,0:02,Wed,0,2,AwayWin,2017-2018
2017028,4,9/28/2017,3:00 PM,1:02,Thu,1,2,AwayWin,2017-2018
2017029,4,9/28/2017,5:30 PM,0:04,Thu,0,4,AwayWin,2017-2018
