match_id,Referee,Stadium,Home team,Away team
2019126,Mohamed Abou-Khater,Arab Contractors Stadium,El Mokawloon,Tanta SC
2019127,Mabrouk Nabil,El Max,Harras Hodoud,Aswan SC
2019128,Mahmoud Ashour,Arab Contractors Stadium,El Makasa,Talaea El Gaish
2019129,Mohamed Maarouf,Cairo International Stadium,Wadi Degla,Zamalek
2019130,Sabry Ibrahim,Egyptian Army Stadium,El Masry,El Gouna
2019131,Tarek Magdi,Cairo Military Academy Stadium,FC Masr,Pyramids FC
2019132,Mahmoud Nagy,Ismailia Stadium,Ismaily,Entag El Harby
2019133,Abdelaziz El Sayed,El Max,Ittihad Alex,Smouha
2019134,Mahmoud El Banna,Cairo International Stadium,Ahly SC,Enppi SC
2019135,Mohamed Sayed Bakr,Aswan Stadium,Aswan SC,Ismaily
2019136,Ahmed Hamdi,El Salam Stadium,Entag El Harby,Ittihad Alex
2019137,Walid Abdelrazak,Petrosport Stadium,Enppi SC,El Mokawloon
2019138,Mohamed El Hanafy,El Max,Smouha,El Makasa
2019139,Nader Kamar,Khaled Bichara Stadium,El Gouna,Wadi Degla
2019140,Mahmoud Bassiouni,Gehaz El Reyada Stadium,Talaea El Gaish,FC Masr
2019141,Mohamed Youssef,Cairo International Stadium,Zamalek,Harras Hodoud
2019142,Ahmed Gamal,Egyptian Army Stadium,El Masry,Tanta SC
2019143,Ibrahim Nour Eldin,30 June Stadium,Pyramids FC,Ahly SC
2019144,Khaled El Ghandour,El Max,Ittihad Alex,Aswan SC
2019145,Hamada El Kalawi,Cairo Military Academy Stadium,FC Masr,Smouha
2019146,Mahmoud Nasef,Arab Contractors Stadium,El Makasa,Entag El Harby
2019147,Mohamed El Tabei,El Max,Harras Hodoud,El Gouna
2019148,Mahmoud Ashour,Ismailia Stadium,Ismaily,Zamalek
2019149,Ibrahim Mahgoub,Tanta Stadium,Tanta SC,Enppi SC
2019150,Sayed Shaaban,Egyptian Army Stadium,Wadi Degla,El Masry
2019151,Mahmoud El Banna,Cairo International Stadium,Ahly SC,Talaea El Gaish
2019152,Mohamed Adel,Arab Contractors Stadium,El Mokawloon,Pyramids FC
2019153,Mahmoud Bassiouni,Ismailia Stadium,Ismaily,El Gouna
2019154,Said Hamza,Arab Contractors Stadium,El Mokawloon,Talaea El Gaish
2019155,Mahmoud Nagy,Petrosport Stadium,Enppi SC,Pyramids FC
2019156,Tarek Magdi,Tanta Stadium,Tanta SC,Wadi Degla
2019157,Mohamed Adel,Cairo International Stadium,Ahly SC,Smouha
2019158,Ahmed Hamdi,Arab Contractors Stadium,El Makasa,Aswan SC
2019159,Mohamed El Hanafy,Borg El Arab Stadium,Ittihad Alex,Zamalek
2019160,Mohamed El Hanafy,Borg El Arab Stadium,Harras Hodoud,El Masry
2019161,Ahmed Hamdi,Cairo Military Academy Stadium,FC Masr,Entag El Harby
2019162,Mohamed Maarouf,Gehaz El Reyada Stadium,Talaea El Gaish,Enppi SC
2019163,Ahmed Gamal,El Salam Stadium,Pyramids FC,Tanta SC
2019164,Said Hamza,El Shorta Stadium,Aswan SC,FC Masr
2019165,Mohamed Youssef,Alexandria Stadium,Smouha,El Mokawloon
2019166,Walid Abdelrazak,Khaled Bichara Stadium,El Gouna,Ittihad Alex
2019167,Ahmed El Adawi,Petrosport Stadium,Wadi Degla,Harras Hodoud
2019168,Mahmoud Ashour,El Salam Stadium,Entag El Harby,Ahly SC
2019169,Ibrahim Nour Eldin,Cairo International Stadium,Zamalek,El Makasa
2019170,Mahmoud Bassiouni,,El Masry,Ismaily
2019171,Mohamed Maarouf,30 June Stadium,Pyramids FC,Talaea El Gaish
2019172,Amin Omar,Petrosport Stadium,Enppi SC,Smouha
2019173,Mahmoud El Banna,Arab Contractors Stadium,El Mokawloon,Entag El Harby
2019174,Tarek Magdi,Cairo International Stadium,Ahly SC,Aswan SC
2019175,Mohamed El Hanafy,Borg El Arab Stadium,Tanta SC,Harras Hodoud
2019176,Mohamed Salama,Arab Contractors Stadium,El Makasa,El Gouna
2019177,Ahmed El Ghandour,Cairo Military Academy Stadium,FC Masr,Zamalek
2019178,Mahmoud Bassiouni,Ismailia Stadium,Ismaily,Wadi Degla
