match_id,Referee,Stadium,Home team,Away team
2020000,Abdelaziz El Sayed,Petrosport Stadium,Enppi SC,Aswan SC
2020001,Mohamed Salama,Gehaz El Reyada Stadium,Talaea El Gaish,El Gouna
2020002,Mohamed Youssef,El Salam Stadium,Entag El Harby,Cleopatra FC
2020003,Said Hamza,El Shorta Stadium,Bank El Ahly,Wadi Degla
2020004,Mohamed El Sabahi,30 June Stadium,Pyramids FC,Ittihad Alex
2020005,Gehad Grisha,Cairo Military Academy Stadium,El Mokawloon,Zamalek
2020006,Mahmoud Nagy,Borg El Arab Stadium,El Masry,Ismaily
2020007,Ibrahim Nour Eldin,El Ahly Stadium,Ahly SC,El Makasa
2020008,Ahmed El Adawi,Alexandria Stadium,Smouha,El Mahalla
2020009,Mahmoud Ashour,Petrosport Stadium,Aswan SC,Talaea El Gaish
2020010,Walid Abdelrazak,Suez Stadium,Cleopatra FC,Bank El Ahly
2020011,Ahmed Hamdi,El Salam Stadium,Wadi Degla,El Mokawloon
2020012,Mahmoud Bassiouni,Borg El Arab Stadium,El Gouna,El Masry
2020013,Mahmoud El Banna,Ismailia Stadium,Ismaily,Entag El Harby
2020014,Mohamed Adel,30 June Stadium,Zamalek,Pyramids FC
2020015,Ahmed Gamal,Arab Contractors Stadium,El Makasa,Enppi SC
2020016,Mohamed El Hanafy,Alexandria Stadium,Ittihad Alex,Smouha
2020017,Tarek Magdi,El Ahly Stadium,Ahly SC,El Mahalla
2020018,Ahmed El Adawi,El Shorta Stadium,Bank El Ahly,Entag El Harby
2020019,Mohamed Youssef,Khaled Bichara Stadium,El Gouna,Ismaily
2020020,Mohamed El Sabahi,,El Masry,Aswan SC
2020021,Said Hamza,Petrosport Stadium,Enppi SC,El Mahalla
2020022,Gehad Grisha,Gehaz El Reyada Stadium,Talaea El Gaish,El Makasa
2020023,Mahmoud Ashour,Alexandria Stadium,Smouha,Zamalek
2020024,Gehad Grisha,El Ahly Stadium,Ahly SC,Ittihad Alex
2020025,Gehad Grisha,30 June Stadium,Pyramids FC,Wadi Degla
2020026,Ahmed Gamal,Arab Contractors Stadium,El Mokawloon,Cleopatra FC
2020027,Abdelaziz El Sayed,El Salam Stadium,Wadi Degla,Smouha
2020028,Tarek Magdi,Aswan Stadium,Aswan SC,El Gouna
2020029,Mahmoud El Banna,Mahalla Stadium,El Mahalla,Talaea El Gaish
2020030,Mahmoud Bassiouni,Ismailia Stadium,Ismaily,Bank El Ahly
2020031,,El Salam Stadium,Entag El Harby,El Mokawloon
2020032,Walid Abdelrazak,Arab Contractors Stadium,El Makasa,El Masry
2020033,Mohamed El Hanafy,Arab Contractors Stadium,Cleopatra FC,Pyramids FC
2020034,Mohamed Youssef,Alexandria Stadium,Ittihad Alex,Enppi SC
2020035,Mahmoud El Banna,Cairo International Stadium,Zamalek,Ahly SC
2020036,Mohamed Maarouf,Aswan Stadium,Aswan SC,Ismaily
2020037,Ahmed El Adawi,Khaled Bichara Stadium,El Gouna,El Makasa
2020038,Mohamed Youssef,Arab Contractors Stadium,El Mokawloon,Bank El Ahly
2020039,Ahmed Gamal,,El Masry,El Mahalla
2020040,Mahmoud Nagy,30 June Stadium,Pyramids FC,Entag El Harby
2020041,Ahmed El Ghandour,El Ahly Stadium,Ahly SC,Wadi Degla
2020042,Amin Omar,Borg El Arab Stadium,Smouha,Cleopatra FC
2020043,Mohamed Adel,Gehaz El Reyada Stadium,Talaea El Gaish,Ittihad Alex
2020044,Mohamed El Sabahi,Petrosport Stadium,Enppi SC,Zamalek
2020045,Mahmoud Ashour,Alexandria Stadium,Ittihad Alex,El Masry
2020046,Mohamed Maarouf,El Shorta Stadium,Bank El Ahly,Pyramids FC
2020047,Mohamed Adel,,Wadi Degla,Enppi SC
2020048,Mohamed Youssef,Suez Stadium,Cleopatra FC,Ahly SC
2020049,Mohamed Salama,Fayoum Stadium,El Makasa,Aswan SC
2020050,Walid Abdelrazak,Mahalla Stadium,El Mahalla,El Gouna
2020051,Ibrahim Nour Eldin,Cairo International Stadium,Zamalek,Talaea El Gaish
2020052,Walid Abdelrazak,El Salam Stadium,Entag El Harby,Smouha
2020053,Mohamed El Hanafy,Ismailia Stadium,Ismaily,El Mokawloon
