match_id,Referee,Stadium,Home team,Away team
2022000,Mohamed Maarouf,Aswan Stadium,Aswan SC,Ittihad Alex
2022001,Mahmoud Nagy,Petrosport Stadium,Bank El Ahly,Pharco FC
2022002,Sayed Mounir,Borg El Arab Stadium,El Masry,Cleopatra FC
2022003,Amin Omar,Petrosport Stadium,Enppi SC,Pyramids FC
2022004,Mohamed Adel,Borg El Arab Stadium,Ismaily,Ahly SC
2022005,Nader Kamar,Arab Contractors Stadium,Zamalek,Smouha
2022006,Mohamed El Kallawy,Arab Contractors Stadium,El Mokawloon,El Mahalla
2022007,Mohamed El Hanafy,El Max,Harras Hodoud,Modern Future
2022008,Mahmoud Bassiouni,Suez Stadium,El Dakhlia,Talaea El Gaish
2022009,Tarek Magdi,Borg El Arab Stadium,Pyramids FC,El Masry
2022010,Mohamed Maarouf,Cairo International Stadium,Cleopatra FC,Zamalek
2022011,Ahmed El Ghandour,El Ahly Stadium,Ahly SC,Aswan SC
2022012,Ahmed Hamdi,Mahalla Stadium,El Mahalla,Ismaily
2022013,Walid Abdelrazak,Alexandria Stadium,Ittihad Alex,El Dakhlia
2022014,Mohamed El Sabahi,El Salam Stadium,Modern Future,El Mokawloon
2022015,Abdelaziz El Sayed,Borg El Arab Stadium,Smouha,Bank El Ahly
2022016,Youssef Mohamed,Gehaz El Reyada Stadium,Talaea El Gaish,Enppi SC
2022017,Mostafa Osman,Alexandria Stadium,Pharco FC,Harras Hodoud
2022018,Ahmed Gamal,Aswan Stadium,Aswan SC,El Mahalla
2022019,Mohamed Adel,,El Masry,Enppi SC
2022020,Nader Kamar,Alexandria Stadium,Ittihad Alex,Talaea El Gaish
2022021,Wael Farhan,Arab Contractors Stadium,El Mokawloon,Pharco FC
2022022,Ibrahim Nour Eldin,El Max,Harras Hodoud,Smouha
2022023,Hesham El Fallal,Cairo International Stadium,Bank El Ahly,Cleopatra FC
2022024,Amin Omar,El Shorta Stadium,El Dakhlia,Ahly SC
2022025,Ibrahim Nour Eldin,Cairo International Stadium,Zamalek,Pyramids FC
2022026,Sobhy El Amrawy,Ismailia Stadium,Ismaily,Modern Future
2022027,Mahmoud El Banna,Arab Contractors Stadium,Enppi SC,Zamalek
2022028,Mohamed El Kallawy,Alexandria Stadium,Pharco FC,Ismaily
2022029,Mahmoud Nagy,El Salam Stadium,Modern Future,Aswan SC
2022030,Ibrahim Nour Eldin,30 June Stadium,Pyramids FC,Bank El Ahly
2022031,Mahmoud Wafa,Mahalla Stadium,El Mahalla,El Dakhlia
2022032,Mahmoud Nagy,Suez Stadium,Talaea El Gaish,El Masry
2022033,Tarek Magdi,Borg El Arab Stadium,Smouha,El Mokawloon
2022034,Mohamed El Sabahi,Cairo International Stadium,Cleopatra FC,Harras Hodoud
2022035,Mahmoud El Banna,El Ahly Stadium,Ahly SC,Ittihad Alex
2022036,,El Max,Harras Hodoud,Pyramids FC
2022037,Ahmed Gamal,Cairo International Stadium,Bank El Ahly,Enppi SC
2022038,Ahmed El Ghandour,Alexandria Stadium,Ittihad Alex,El Mahalla
2022039,Ibrahim Nour Eldin,Aswan Stadium,Aswan SC,Pharco FC
2022040,Mohamed Youssef,El Shorta Stadium,El Dakhlia,Modern Future
2022041,Amin Omar,Borg El Arab Stadium,Zamalek,El Masry
2022042,Mohamed El Hanafy,Ismailia Stadium,Ismaily,Smouha
2022043,Sobhy El Amrawy,Arab Contractors Stadium,El Mokawloon,Cleopatra FC
2022044,Mohamed Adel,El Ahly Stadium,Ahly SC,Talaea El Gaish
2022045,Nader Kamar,Borg El Arab Stadium,El Masry,Bank El Ahly
2022046,Mohamed Salama,30 June Stadium,Pyramids FC,El Mokawloon
2022047,Mohamed Abbas Kabil,Alexandria Stadium,Pharco FC,El Dakhlia
2022048,Mohamed El Hanafy,Mahalla Stadium,El Mahalla,Ahly SC
2022049,Ahmed El Ghandour,Gehaz El Reyada Stadium,Talaea El Gaish,Zamalek
2022050,Mahmoud Nasef,Petrosport Stadium,Enppi SC,Harras Hodoud
2022051,,Alexandria Stadium,Smouha,Aswan SC
2022052,Mohamed Maarouf,Cairo International Stadium,Modern Future,Ittihad Alex
2022053,Mahmoud El Banna,Suez Canal Authority Stadium,Cleopatra FC,Ismaily
2022054,,Mahalla Stadium,El Mahalla,Talaea El Gaish
2022055,Walid Abdelrazak,Aswan Stadium,Aswan SC,Cleopatra FC
2022056,,El Shorta Stadium,El Dakhlia,Smouha
2022057,Mostafa El Shohdi,Alexandria Stadium,Ittihad Alex,Pharco FC
2022058,Mohamed Youssef,Arab Contractors Stadium,El Mokawloon,Enppi SC
2022059,Abdelaziz El Sayed,Ismailia Stadium,Ismaily,Pyramids FC
2022060,Wael Farhan,Suez Stadium,Harras Hodoud,El Masry
2022061,Nader Kamar,Cairo International Stadium,Bank El Ahly,Zamalek
2022062,Amin Omar,El Ahly Stadium,Ahly SC,Modern Future
2022063,Mostafa El Shohdi,Suez Canal Authority Stadium,Cleopatra FC,El Dakhlia
2022064,Mohamed Adel,Alexandria Stadium,Smouha,Ittihad Alex
2022065,Mahmoud El Banna,Cairo International Stadium,Modern Future,El Mahalla
2022066,Wael Farhan,30 June Stadium,Pyramids FC,Aswan SC
2022067,Mohamed Maarouf,Petrosport Stadium,Enppi SC,Ismaily
2022068,Ibrahim Nour Eldin,Gehaz El Reyada Stadium,Talaea El Gaish,Bank El Ahly
2022069,Tarek Magdi,Borg El Arab Stadium,Pharco FC,Ahly SC
2022070,Mahmoud Nagy,Cairo International Stadium,Zamalek,Harras Hodoud
2022071,Mohamed El Atbany,Borg El Arab Stadium,El Masry,El Mokawloon
2022072,Hesham El Kadi,Alexandria Stadium,Ittihad Alex,Cleopatra FC
2022073,Sobhy El Amrawy,El Salam Stadium,El Dakhlia,Pyramids FC
2022074,Mohamed Adel,Aswan Stadium,Aswan SC,Enppi SC
2022075,Sayed Mounir,Mahalla Stadium,El Mahalla,Pharco FC
2022076,Mohamed Salama,El Max,Harras Hodoud,Bank El Ahly
2022077,Nader Kamar,Cairo International Stadium,Modern Future,Talaea El Gaish
2022078,Mohamed El Kallawy,Borg El Arab Stadium,Ismaily,El Masry
2022079,Abdelaziz El Sayed,Arab Contractors Stadium,El Mokawloon,Zamalek
2022080,Ahmed El Ghandour,El Ahly Stadium,Ahly SC,Smouha
2022081,Mohamed Youssef,30 June Stadium,Pyramids FC,Ittihad Alex
2022082,,Petrosport Stadium,Enppi SC,El Dakhlia
2022083,Walid Abdelrazak,Gehaz El Reyada Stadium,Talaea El Gaish,Harras Hodoud
2022084,Ahmed El Ghandour,Alexandria Stadium,Pharco FC,Modern Future
2022085,Ibrahim Nour Eldin,Cairo International Stadium,Cleopatra FC,Ahly SC
2022086,Tarek Magdi,Borg El Arab Stadium,El Masry,Aswan SC
2022087,Mahmoud El Banna,Cairo International Stadium,Zamalek,Ismaily
2022088,Mohamed El Sabahi,Borg El Arab Stadium,Smouha,El Mahalla
2022089,Ali El Said,Cairo International Stadium,Bank El Ahly,El Mokawloon
2022090,Amin Omar,Aswan Stadium,Aswan SC,Zamalek
2022091,Nader Kamar,El Shorta Stadium,El Dakhlia,El Masry
2022092,Mahmoud Nagy,Alexandria Stadium,Ittihad Alex,Enppi SC
2022093,Szymon Marciniak,Cairo International Stadium,Ahly SC,Pyramids FC
2022094,Abdelaziz El Sayed,Mahalla Stadium,El Mahalla,Cleopatra FC
2022095,Mohamed Adel,Arab Contractors Stadium,El Mokawloon,Harras Hodoud
2022096,Ahmed El Ghandour,Ismailia Stadium,Ismaily,Bank El Ahly
2022097,Wael Farhan,El Salam Stadium,Modern Future,Smouha
2022098,Mostafa Osman,Alexandria Stadium,Pharco FC,Talaea El Gaish
2022099,Mahmoud El Banna,Arab Contractors Stadium,Enppi SC,Ahly SC
2022100,Mahmoud Nagy,Cairo International Stadium,Zamalek,El Dakhlia
2022101,Mohamed Salama,30 June Stadium,Pyramids FC,El Mahalla
2022102,Mohamed Maarouf,,El Masry,Ittihad Alex
2022103,Tarek Magdi,Arab Contractors Stadium,Cleopatra FC,Modern Future
2022104,Mohamed Youssef,Cairo Military Academy Stadium,Harras Hodoud,Ismaily
2022105,Sobhy El Amrawy,Cairo International Stadium,Bank El Ahly,Aswan SC
2022106,Ibrahim Nour Eldin,Alexandria Stadium,Smouha,Pharco FC
2022107,Ahmed Naser,Gehaz El Reyada Stadium,Talaea El Gaish,El Mokawloon
2022108,Ahmed Nagy,El Shorta Stadium,El Dakhlia,Bank El Ahly
2022109,Mahmoud Nasef,Alexandria Stadium,Smouha,Talaea El Gaish
2022110,Mohamed Maarouf,El Salam Stadium,Modern Future,Pyramids FC
2022111,Ibrahim Nour Eldin,Borg El Arab Stadium,Ittihad Alex,Zamalek
2022112,Nader Kamar,Mahalla Stadium,El Mahalla,Enppi SC
2022113,Walid Abdelrazak,Borg El Arab Stadium,Ahly SC,El Masry
2022114,Mohamed Abbas Kabil,Aswan Stadium,Aswan SC,Harras Hodoud
2022115,Mohamed El Atbany,Alexandria Stadium,Pharco FC,Cleopatra FC
2022116,Mohamed El Hanafy,Ismailia Stadium,Ismaily,El Mokawloon
2022117,Abdelaziz El Sayed,El Max,Harras Hodoud,El Dakhlia
2022118,Ibrahim Nour Eldin,Gehaz El Reyada Stadium,Talaea El Gaish,Ismaily
