match_id,Referee,Stadium,Home team,Away team
2023000,Mostafa Osman,Gehaz El Reyada Stadium,Talaea El Gaish,Bank El Ahly
2023001,Ibrahim Nour Eldin,Cairo International Stadium,Zed FC,Ismaily
2023002,Mohamed Adel,Borg El Arab Stadium,Ahly SC,El Masry
2023003,Sobhy El Amrawy,El Salam Stadium,El Dakhlia,Enppi SC
2023004,Hesham El Kadi,Arab Contractors Stadium,El Mokawloon,Baladiya
2023005,Mohamed El Atbany,Alexandria Stadium,Smouha,El Gouna
2023006,Mahmoud Nagy,Borg El Arab Stadium,Pharco FC,Modern Future
2023007,Abdelaziz El Sayed,Alexandria Stadium,Ittihad Alex,Cleopatra FC
2023008,Mahmoud Bassiouni,30 June Stadium,Pyramids FC,Zamalek
2023009,Ahmed El Ghandour,El Salam Stadium,Bank El Ahly,Pyramids FC
2023010,Amin Omar,Cairo International Stadium,Zamalek,El Mokawloon
2023011,Mohamed El Ghazi,Mahalla Stadium,Baladiya,Smouha
2023012,Tarek Magdi,Cairo International Stadium,Modern Future,El Dakhlia
2023013,Ahmed Gamal,Petrosport Stadium,Enppi SC,Talaea El Gaish
2023014,Abdelaziz El Sayed,Cairo International Stadium,Cleopatra FC,Ahly SC
2023015,Mohamed Salama,Khaled Bichara Stadium,El Gouna,Zed FC
2023016,Hamada El Kalawi,Borg El Arab Stadium,El Masry,Pharco FC
2023017,Mohamed Maarouf,Ismailia Stadium,Ismaily,Ittihad Alex
2023018,Mohamed Abbas Kabil,Cairo International Stadium,Zed FC,Baladiya
2023019,Mahmoud Wafa,Alexandria Stadium,Smouha,El Mokawloon
2023020,Ahmed Hamdi,Alexandria Stadium,Ittihad Alex,El Gouna
2023021,Wael Farhan,Alexandria Stadium,Pharco FC,Cleopatra FC
2023022,Mostafa El Shohdi,Borg El Arab Stadium,El Dakhlia,El Masry
2023023,Mohamed Maarouf,Cairo International Stadium,Bank El Ahly,Zamalek
2023024,Ahmed El Ghandour,Gehaz El Reyada Stadium,Talaea El Gaish,Modern Future
2023025,Mahmoud El Banna,Borg El Arab Stadium,Ahly SC,Ismaily
2023026,Mahmoud Nagy,30 June Stadium,Pyramids FC,Enppi SC
2023027,Ibrahim Nour Eldin,,El Masry,Talaea El Gaish
2023028,,Suez Canal Authority Stadium,Cleopatra FC,El Dakhlia
2023029,Mahmoud Nasef,Mahalla Stadium,Baladiya,Ittihad Alex
2023030,Mohamed Youssef,Cairo International Stadium,Zamalek,Smouha
