match_id,Referee,Stadium,Home team,Away team
2016000,Abdelaziz El Sayed,Aswan Stadium,Aswan SC,El Dakhlia
2016001,Ahmed El Adawi,Aswan Stadium,El Nasr Tadeen,Enppi SC
2016002,Ahmed El Ghandour,Banha Stadium,El Sharkia,Smouha
2016003,Tarek Magdi,Suez Stadium,Petrojet,Wadi Degla
2016004,Mohamed Adel,Borg El Arab Stadium,Ittihad Alex,El Mokawloon
2016005,Amin Omar,Fayoum Stadium,El Makasa,Tanta SC
2016006,Mohamed El Sabahi,Borg El Arab Stadium,Talaea El Gaish,El Masry
2016007,Gehad Grisha,Petrosport Stadium,Ahly SC,Ismaily
2016008,Mohamed El Hanafy,El Salam Stadium,Entag El Harby,Zamalek
2016009,Amr Ayed,Tanta Stadium,Tanta SC,Aswan SC
2016010,Said Hamza,Ismailia Stadium,Ismaily,Entag El Harby
2016011,Mahmoud El Banna,Petrosport Stadium,El Mokawloon,Ahly SC
2016012,Mahmoud Bassiouni,El Shorta Stadium,El Dakhlia,Petrojet
2016013,Mohamed Salama,Petrosport Stadium,Enppi SC,El Sharkia
2016014,Ahmed Hamdi,Alexandria Stadium,El Masry,El Nasr Tadeen
2016015,Mohamed Maarouf,Cairo International Stadium,Wadi Degla,Ittihad Alex
2016016,Mohamed Farouk,Alexandria Stadium,Smouha,El Makasa
2016017,Amin Omar,Petrosport Stadium,Zamalek,Talaea El Gaish
2016018,Osama El Aref,Borg El Arab Stadium,Smouha,Tanta SC
2016019,Mahmoud El Banna,Borg El Arab Stadium,El Sharkia,El Masry
2016020,Mahmoud Bassiouni,Petrosport Stadium,Ahly SC,Wadi Degla
2016021,Nader Kamar,Suez Stadium,Petrojet,Aswan SC
2016022,Ibrahim Nour Eldin,Gehaz El Reyada Stadium,Talaea El Gaish,Ismaily
2016023,Tarek Magdi,Aswan Stadium,El Nasr Tadeen,Zamalek
2016024,Mohamed El Sabahi,Fayoum Stadium,El Makasa,Enppi SC
2016025,Ahmed El Ghandour,Borg El Arab Stadium,Ittihad Alex,El Dakhlia
2016026,Amin Omar,El Salam Stadium,Entag El Harby,El Mokawloon
2016027,Mohamed Abou-Khater,Tanta Stadium,Tanta SC,Petrojet
2016028,Mohamed Farouk,Aswan Stadium,Aswan SC,Ittihad Alex
2016029,Ibrahim Nour Eldin,Borg El Arab Stadium,El Masry,El Makasa
2016030,Gehad Grisha,Arab Contractors Stadium,El Mokawloon,Talaea El Gaish
2016031,Mohamed Maarouf,Petrosport Stadium,Enppi SC,Smouha
2016032,Walid Abdelrazak,Cairo International Stadium,Wadi Degla,Entag El Harby
2016033,Sherif Hassan,Ismailia Stadium,Ismaily,El Nasr Tadeen
2016034,Abdelaziz El Sayed,Petrosport Stadium,El Dakhlia,Ahly SC
2016035,Hesham Abdelhamid,Petrosport Stadium,Zamalek,El Sharkia
2016036,Ahmed Hamdi,Borg El Arab Stadium,Ittihad Alex,Petrojet
2016037,Amin Omar,Borg El Arab Stadium,Smouha,El Masry
2016038,Mohamed Maarouf,Petrosport Stadium,Ahly SC,Aswan SC
2016039,Mahmoud El Banna,Gehaz El Reyada Stadium,Talaea El Gaish,Wadi Degla
2016040,Ahmed El Adawi,El Salam Stadium,Entag El Harby,El Dakhlia
2016041,Ahmed El Sayed,Aswan Stadium,El Nasr Tadeen,El Mokawloon
2016042,Gehad Grisha,Banha Stadium,El Sharkia,Ismaily
2016043,Tarek Samy,Petrosport Stadium,Enppi SC,Tanta SC
2016044,Gehad Grisha,El Salam Stadium,El Makasa,Zamalek
2016045,Osama Ismail,Cairo International Stadium,Wadi Degla,El Nasr Tadeen
2016046,Said Hamza,El Shorta Stadium,El Dakhlia,Talaea El Gaish
2016047,Mohamed El Sabahi,Egyptian Army Stadium,Petrojet,Ahly SC
2016048,Mohamed Adel,Aswan Stadium,Aswan SC,Entag El Harby
2016049,Nader Kamar,Tanta Stadium,Tanta SC,Ittihad Alex
2016050,Osama El Aref,Arab Contractors Stadium,El Mokawloon,El Sharkia
2016051,Ahmed El Ghandour,Ismailia Stadium,Ismaily,El Makasa
2016052,Mohamed Farouk,Borg El Arab Stadium,El Masry,Enppi SC
2016053,Ibrahim Nour Eldin,Petrosport Stadium,Zamalek,Smouha
2016054,Gehad Grisha,Gehaz El Reyada Stadium,Talaea El Gaish,Aswan SC
2016055,Amr Ramadan,El Salam Stadium,Entag El Harby,Petrojet
2016056,Walid Abdelaziz,Aswan Stadium,El Nasr Tadeen,El Dakhlia
