match_id,Referee,Stadium,Home team,Away team
2015000,Mohamed El Sabahi,El Shorta Stadium,El Dakhlia,El Mokawloon
2015001,Mohamed Maarouf,Petrosport Stadium,Enppi SC,Harras Hodoud
2015002,Abdelaziz El Sayed,Alexandria Stadium,Ittihad Alex,Aswan SC
2015003,Tarek Magdi,Ismailia Stadium,Ismaily,Entag El Harby
2015004,Mohamed Farouk,Petrosport Stadium,Zamalek,Wadi Degla
2015005,Amr Ayed,Mahalla Stadium,El Mahalla,Smouha
2015006,Gehad Grisha,Fayoum Stadium,El Makasa,El Shorta
2015007,Mahmoud El Banna,Ismailia Stadium,Petrojet,El Masry
2015008,Ibrahim Nour Eldin,Petrosport Stadium,Talaea El Gaish,Ahly SC
2015009,Ahmed El Ghandour,El Max,Harras Hodoud,El Dakhlia
2015010,Mohamed Adel,Gaish Stadium,Entag El Harby,Ittihad Alex
2015011,Ashraf Rashad,Arab Contractors Stadium,El Mokawloon,Ismaily
2015012,Ahmed Hamdi,Alexandria Stadium,Smouha,Petrojet
2015013,Amin Omar,Aswan Stadium,Aswan SC,Zamalek
2015014,Sherif Rashwan,Ismailia Stadium,El Masry,El Makasa
2015015,Mahmoud Ashour,Petrosport Stadium,Ahly SC,El Mahalla
2015016,Ahmed El Adawi,El Shorta Stadium,El Shorta,Enppi SC
2015017,Mahmoud Bassiouni,Petrosport Stadium,Wadi Degla,Talaea El Gaish
2015018,Amin Omar,Mahalla Stadium,El Mahalla,Wadi Degla
2015019,Mohamed Adel,Ismailia Stadium,Enppi SC,El Masry
2015020,Mohamed El Sabahi,Fayoum Stadium,El Makasa,Smouha
2015021,Walid Abdelrazak,Alexandria Stadium,Ittihad Alex,El Mokawloon
2015022,Mahmoud El Banna,Petrosport Stadium,Zamalek,Entag El Harby
2015023,Said Hamza,Gehaz El Reyada Stadium,Talaea El Gaish,Aswan SC
2015024,Awad Saafan,El Shorta Stadium,El Shorta,Harras Hodoud
2015025,Mohamed Farouk,Suez Stadium,Petrojet,Ahly SC
2015026,Mohamed El Hanafy,Ismailia Stadium,Ismaily,El Dakhlia
2015027,Ibrahim Nour Eldin,Petrosport Stadium,El Mokawloon,Zamalek
2015028,Samir Osman,Alexandria Stadium,Smouha,Enppi SC
2015029,Mahmoud El Banna,Petrosport Stadium,Ahly SC,El Makasa
2015030,Mohamed Maarouf,El Shorta Stadium,El Dakhlia,Ittihad Alex
2015031,Mahmoud Ashour,Ismailia Stadium,El Masry,El Shorta
2015032,Gehad Grisha,El Max,Harras Hodoud,Ismaily
2015033,Hesham Abdelhamid,Petrosport Stadium,Wadi Degla,Petrojet
2015034,Mohamed Salama,Aswan Stadium,Aswan SC,El Mahalla
2015035,Sherif Rashwan,Petrosport Stadium,Entag El Harby,Talaea El Gaish
2015036,Mahmoud Bassiouni,Fayoum Stadium,El Makasa,Wadi Degla
2015037,Mohamed Farouk,Alexandria Stadium,Ittihad Alex,Ismaily
2015038,Gehad Grisha,Gehaz El Reyada Stadium,Talaea El Gaish,El Mokawloon
2015039,Walid Abdelaziz,Suez Stadium,Petrojet,Aswan SC
2015040,Mohamed Abou-Khater,Mahalla Stadium,El Mahalla,Entag El Harby
2015041,Ibrahim Nour Eldin,Ismailia Stadium,El Masry,Harras Hodoud
2015042,Ashraf Rashad,El Shorta Stadium,El Shorta,Smouha
2015043,Ibrahim Nour Eldin,Petrosport Stadium,Zamalek,El Dakhlia
2015044,Mahmoud El Banna,Petrosport Stadium,Enppi SC,Ahly SC
2015045,Abdelaziz El Sayed,Arab Contractors Stadium,El Mokawloon,El Mahalla
2015046,Mahmoud Ashour,El Max,Harras Hodoud,Ittihad Alex
2015047,Samir Osman,El Shorta Stadium,El Dakhlia,Talaea El Gaish
2015048,Ahmed El Adawi,Aswan Stadium,Aswan SC,El Makasa
2015049,Tarek Magdi,Ismailia Stadium,Smouha,El Masry
2015050,Mohamed Farouk,El Salam Stadium,Entag El Harby,Petrojet
2015051,Mohamed El Hanafy,Borg El Arab Stadium,Ahly SC,El Shorta
2015052,Samir Osman,Ismailia Stadium,Ismaily,Zamalek
2015053,Walid Abdelaziz,30 June Stadium,Wadi Degla,Enppi SC
2015054,Awad Saafan,Mahalla Stadium,El Mahalla,El Dakhlia
2015055,Mohamed Maarouf,Suez Stadium,Petrojet,El Mokawloon
2015056,Amin Omar,Fayoum Stadium,El Makasa,Entag El Harby
2015057,Amr Ayed,Petrosport Stadium,Enppi SC,Aswan SC
2015058,Mohamed El Hanafy,Alexandria Stadium,Smouha,Harras Hodoud
2015059,Amin Omar,El Shorta Stadium,El Shorta,Wadi Degla
2015060,Ahmed Hamdi,Gehaz El Reyada Stadium,Talaea El Gaish,Ismaily
2015061,Mohamed Farouk,Petrosport Stadium,Zamalek,Ittihad Alex
2015062,Ibrahim Nour Eldin,Borg El Arab Stadium,El Masry,Ahly SC
2015063,Sherif Hassan,Arab Contractors Stadium,El Mokawloon,El Makasa
2015064,Ahmed Hamdi,Alexandria Stadium,Ittihad Alex,Talaea El Gaish
2015065,Mohamed El Sabahi,El Salam Stadium,Entag El Harby,Enppi SC
2015066,Amr Ramadan,Aswan Stadium,Aswan SC,El Shorta
2015067,Sherif Rashwan,Ismailia Stadium,Ismaily,El Mahalla
2015068,Walid Abdelrazak,El Shorta Stadium,El Dakhlia,Petrojet
2015069,Samir Osman,El Max,Harras Hodoud,Zamalek
2015070,Gehad Grisha,Ismailia Stadium,Wadi Degla,El Masry
2015071,Ibrahim Nour Eldin,Petrosport Stadium,Ahly SC,Smouha
2015072,Said Hamza,El Shorta Stadium,El Shorta,Entag El Harby
2015073,Mohamed Adel,Petrosport Stadium,Enppi SC,El Mokawloon
2015074,Abdelaziz El Sayed,Mahalla Stadium,El Mahalla,Ittihad Alex
2015075,Mohamed Maarouf,Fayoum Stadium,El Makasa,El Dakhlia
2015076,Mahmoud Ashour,Suez Stadium,Petrojet,Ismaily
2015077,Mahmoud El Banna,30 June Stadium,Talaea El Gaish,Zamalek
2015078,Ahmed El Ghandour,Ismailia Stadium,El Masry,Aswan SC
2015079,Amin Omar,Alexandria Stadium,Smouha,Wadi Degla
2015080,Mohamed El Hanafy,Borg El Arab Stadium,Ahly SC,Harras Hodoud
2015081,Gehad Grisha,Ismailia Stadium,Ismaily,El Makasa
2015082,Tarek Magdi,Alexandria Stadium,Ittihad Alex,Petrojet
2015083,Mohamed Maarouf,Petrosport Stadium,Zamalek,El Mahalla
2015084,Ashraf Rashad,Aswan Stadium,Aswan SC,Smouha
2015085,Mohamed Farouk,Ismailia Stadium,Entag El Harby,El Masry
2015086,Sherif Rashwan,El Shorta Stadium,El Dakhlia,Enppi SC
2015087,Mohamed Salama,Arab Contractors Stadium,El Mokawloon,El Shorta
2015088,Walid Abdelaziz,El Max,Harras Hodoud,Talaea El Gaish
2015089,Samir Osman,Petrosport Stadium,Wadi Degla,Ahly SC
2015090,Mohamed Adel,Fayoum Stadium,El Makasa,Ittihad Alex
2015091,Mohamed Farouk,Suez Stadium,Petrojet,Zamalek
2015092,Mahmoud Ashour,Borg El Arab Stadium,Ahly SC,Aswan SC
2015093,Mohamed El Hanafy,El Shorta Stadium,El Shorta,El Dakhlia
2015094,Ahmed El Adawi,Mahalla Stadium,El Mahalla,Talaea El Gaish
2015095,Gehad Grisha,Alexandria Stadium,Smouha,Entag El Harby
2015096,Hesham Abdelhamid,Ismailia Stadium,El Masry,El Mokawloon
2015097,Ibrahim Nour Eldin,30 June Stadium,Wadi Degla,Harras Hodoud
2015098,Mahmoud El Banna,Petrosport Stadium,Enppi SC,Ismaily
2015099,Samir Osman,Ismailia Stadium,El Dakhlia,El Masry
2015100,Gehad Grisha,Petrosport Stadium,Zamalek,El Makasa
2015101,Mohamed El Hanafy,El Max,Harras Hodoud,El Mahalla
2015102,Mohamed Farouk,Aswan Stadium,Aswan SC,Wadi Degla
