match_id,Referee,Stadium,Home team,Away team
2021000,Nader Kamar,Petrosport Stadium,Bank El Ahly,Talaea El Gaish
2021001,Abdelaziz El Sayed,Alexandria Stadium,Smouha,Ittihad Alex
2021002,Mohamed Maarouf,El Salam Stadium,Future FC,Pharco FC
2021003,Hesham El Fallal,Arab Contractors Stadium,El Mokawloon,Eastern Company
2021004,,Khaled Bichara Stadium,El Gouna,Cleopatra FC
2021005,Mahmoud Nagy,Petrosport Stadium,Zamalek,Enppi SC
2021006,Wael Farhan,30 June Stadium,Pyramids FC,El Makasa
2021007,Mohamed Adel,Borg El Arab Stadium,Ismaily,Ahly SC
2021008,Mahmoud Bassiouni,Borg El Arab Stadium,El Mahalla,El Masry
2021009,Mahmoud El Banna,Alexandria Stadium,Ittihad Alex,Future FC
2021010,Mohamed Youssef,Petrosport Stadium,Enppi SC,El Mokawloon
2021011,Mohamed Maarouf,Arab Contractors Stadium,Cleopatra FC,Ismaily
2021012,Mahmoud Wafa,Cairo Military Academy Stadium,El Makasa,El Gouna
2021013,Amin Omar,Gehaz El Reyada Stadium,Talaea El Gaish,Zamalek
2021014,Ibrahim Nour Eldin,Alexandria Stadium,Pharco FC,Pyramids FC
2021015,Mahmoud Ashour,El Ahly Stadium,Ahly SC,Bank El Ahly
2021016,Ahmed El Ghandour,Alexandria Stadium,El Masry,Smouha
2021017,Ahmed Gamal,Petrosport Stadium,Eastern Company,El Mahalla
2021018,Tarek Magdi,El Shorta Stadium,Bank El Ahly,Ismaily
2021019,Sobhy El Amrawy,Arab Contractors Stadium,El Makasa,Cleopatra FC
2021020,Walid Abdelrazak,Khaled Bichara Stadium,El Gouna,Pharco FC
2021021,Ibrahim Nour Eldin,Arab Contractors Stadium,El Mokawloon,Talaea El Gaish
2021022,Mohamed Maarouf,30 June Stadium,Pyramids FC,Ittihad Alex
2021023,Wael Farhan,Alexandria Stadium,Smouha,Eastern Company
2021024,Nader Kamar,Mahalla Stadium,El Mahalla,Enppi SC
2021025,Mahmoud Ashour,Borg El Arab Stadium,Future FC,El Masry
2021026,Mohamed Adel,Cairo International Stadium,Zamalek,Ahly SC
2021027,Hesham El Fallal,Alexandria Stadium,Pharco FC,El Makasa
2021028,Mohamed El Hanafy,Petrosport Stadium,Eastern Company,Future FC
2021029,Abdelaziz El Sayed,Arab Contractors Stadium,Cleopatra FC,Bank El Ahly
2021030,Nader Kamar,Alexandria Stadium,Ittihad Alex,El Gouna
2021031,Mahmoud Ashour,Gehaz El Reyada Stadium,Talaea El Gaish,El Mahalla
2021032,Amin Omar,Borg El Arab Stadium,El Masry,Pyramids FC
2021033,Mahmoud El Banna,Ismailia Stadium,Ismaily,Zamalek
2021034,Mohamed Maarouf,Petrosport Stadium,Enppi SC,Smouha
2021035,Ahmed El Ghandour,El Ahly Stadium,Ahly SC,El Mokawloon
2021036,Mahmoud Wafa,Alexandria Stadium,Pharco FC,Cleopatra FC
2021037,Tarek Magdi,Fayoum Stadium,El Makasa,Ittihad Alex
2021038,Mostafa El Shohdi,30 June Stadium,Pyramids FC,Eastern Company
2021039,Mohamed El Hanafy,Mahalla Stadium,El Mahalla,Ahly SC
2021040,Mahmoud Ashour,Cairo International Stadium,Zamalek,Bank El Ahly
2021041,Mohamed El Sabahi,Borg El Arab Stadium,El Gouna,El Masry
2021042,Amin Omar,Arab Contractors Stadium,El Mokawloon,Ismaily
2021043,Mohamed Adel,El Salam Stadium,Future FC,Enppi SC
2021044,Mohamed El Sabahi,Borg El Arab Stadium,Smouha,Talaea El Gaish
2021045,Abdelaziz El Sayed,Alexandria Stadium,Ittihad Alex,Pharco FC
2021046,Mohamed Maarouf,Arab Contractors Stadium,Cleopatra FC,Zamalek
2021047,Mahmoud El Banna,El Ahly Stadium,Ahly SC,Smouha
2021048,Mahmoud Nagy,Cairo International Stadium,Bank El Ahly,El Mokawloon
2021049,Ahmed El Ghandour,Ismailia Stadium,Ismaily,El Mahalla
2021050,Mahmoud Ashour,Gehaz El Reyada Stadium,Talaea El Gaish,Future FC
2021051,Mahmoud Bassiouni,Petrosport Stadium,Eastern Company,El Gouna
2021052,Ibrahim Nour Eldin,Borg El Arab Stadium,El Masry,El Makasa
2021053,Nader Kamar,Petrosport Stadium,Enppi SC,Pyramids FC
2021054,Mahmoud El Banna,Borg El Arab Stadium,Pharco FC,El Masry
2021055,Mohamed Salama,Mahalla Stadium,El Mahalla,Bank El Ahly
2021056,Mahmoud Nagy,Khaled Bichara Stadium,El Gouna,Enppi SC
2021057,Sayed Shaaban,Fayoum Stadium,El Makasa,Eastern Company
2021058,Mohamed Adel,Alexandria Stadium,Ittihad Alex,Cleopatra FC
2021059,Mohamed El Hanafy,Borg El Arab Stadium,Smouha,Ismaily
2021060,Abdelaziz El Sayed,30 June Stadium,Pyramids FC,Talaea El Gaish
2021061,Mahmoud Ashour,Arab Contractors Stadium,El Mokawloon,Zamalek
2021062,Mohamed El Hanafy,El Salam Stadium,Future FC,Ahly SC
2021063,Ahmed El Ghandour,Suez Canal Authority Stadium,Cleopatra FC,El Mokawloon
2021064,Mahmoud Nasef,Petrosport Stadium,Eastern Company,Pharco FC
2021065,Tarek Magdi,Borg El Arab Stadium,El Masry,Ittihad Alex
2021066,,Cairo International Stadium,Zamalek,El Mahalla
2021067,,Petrosport Stadium,Enppi SC,El Makasa
2021068,Mohamed Maarouf,Gehaz El Reyada Stadium,Talaea El Gaish,El Gouna
2021069,Mostafa Osman,Cairo International Stadium,Bank El Ahly,Smouha
2021070,Amin Omar,Ismailia Stadium,Ismaily,Future FC
2021071,Mahmoud El Banna,El Ahly Stadium,Ahly SC,Pyramids FC
2021072,Sayed Mounir,Alexandria Stadium,Ittihad Alex,Eastern Company
2021073,Mohamed Adel,Cairo Military Academy Stadium,El Makasa,Talaea El Gaish
2021074,Mahmoud Ashour,Mahalla Stadium,El Mahalla,El Mokawloon
2021075,Ahmed El Ghandour,Alexandria Stadium,Smouha,Zamalek
2021076,Mohamed El Sabahi,Alexandria Stadium,Pharco FC,Enppi SC
2021077,Mohamed El Hanafy,30 June Stadium,Pyramids FC,Ismaily
2021078,Mohamed Maarouf,El Salam Stadium,Future FC,Bank El Ahly
2021079,Mahmoud Nagy,Borg El Arab Stadium,El Masry,Cleopatra FC
2021080,Mohamed Adel,Khaled Bichara Stadium,El Gouna,Ahly SC
2021081,Amin Omar,Arab Contractors Stadium,El Mokawloon,Smouha
2021082,Ibrahim Nour Eldin,Gehaz El Reyada Stadium,Talaea El Gaish,Pharco FC
2021083,Mohamed Adel,Suez Canal Authority Stadium,Cleopatra FC,El Mahalla
2021084,Walid Abdelrazak,Petrosport Stadium,Enppi SC,Ittihad Alex
2021085,Abdelaziz El Sayed,El Ahly Stadium,Ahly SC,El Makasa
2021086,Ibrahim Mohamed,Borg El Arab Stadium,Eastern Company,El Masry
2021087,Mahmoud El Banna,Ismailia Stadium,Ismaily,El Gouna
2021088,Ahmed El Ghandour,Petrosport Stadium,Bank El Ahly,Pyramids FC
2021089,Mohamed El Hanafy,Cairo International Stadium,Zamalek,Future FC
2021090,Wael Farhan,Cairo International Stadium,Future FC,El Mokawloon
2021091,Mostafa El Shohdi,Borg El Arab Stadium,Smouha,El Mahalla
2021092,,Petrosport Stadium,Eastern Company,Cleopatra FC
2021093,Mahmoud Ashour,Alexandria Stadium,Ittihad Alex,Talaea El Gaish
2021094,Nader Kamar,Khaled Bichara Stadium,El Gouna,Bank El Ahly
2021095,Mohamed El Sabahi,Cairo Military Academy Stadium,El Makasa,Ismaily
2021096,Mohamed Maarouf,Alexandria Stadium,Pharco FC,Ahly SC
2021097,Ahmed Gamal,Borg El Arab Stadium,El Masry,Enppi SC
2021098,Amin Omar,30 June Stadium,Pyramids FC,Zamalek
2021099,Mohamed Adel,Arab Contractors Stadium,El Mokawloon,Pyramids FC
