match_id,Referee,Stadium,Home team,Away team
2017000,Walid Abdelrazak,El Shorta Stadium,El Dakhlia,Petrojet
2017001,Mahmoud Wafa,Arab Contractors Stadium,El Mokawloon,El Raja
2017002,Mohamed Salama,Tanta Stadium,Tanta SC,El Nasr
2017003,Gehad Grisha,Alexandria Stadium,Ittihad Alex,Ismaily
2017004,Ahmed El Ghandour,El Salam Stadium,Entag El Harby,Zamalek
2017005,Mohamed Abbas,30 June Stadium,Alassiouty SC,El Makasa
2017006,Mahmoud Bassiouni,Borg El Arab Stadium,El Masry,Wadi Degla
2017007,Ahmed Hamdi,El Ahly Stadium,Ahly SC,Talaea El Gaish
2017008,Mohamed Adel,Petrosport Stadium,Enppi SC,Smouha
2017009,Mahmoud El Banna,Borg El Arab Stadium,Petrojet,El Masry
2017010,Mohamed Youssef,Gehaz El Reyada Stadium,Talaea El Gaish,Entag El Harby
2017011,Abdelaziz El Sayed,El Max,El Raja,Alassiouty SC
2017012,Mahmoud Nagy,Cairo International Stadium,El Nasr,Ittihad Alex
2017013,Mohamed Hassan,30 June Stadium,Wadi Degla,Enppi SC
2017014,,Alexandria Stadium,Smouha,Tanta SC
2017015,Ibrahim Nour Eldin,Ismailia Stadium,Ismaily,El Mokawloon
2017016,Mohamed Maarouf,Petrosport Stadium,Zamalek,El Dakhlia
2017017,Amin Omar,Egyptian Army Stadium,El Makasa,Ahly SC
2017018,Mahmoud Bassiouni,Petrosport Stadium,Enppi SC,Petrojet
2017019,Wael Farhan,Alexandria Stadium,Smouha,El Nasr
2017020,Mohamed Adel,El Salam Stadium,Entag El Harby,El Makasa
2017021,Hesham El Fallal,Tanta Stadium,Tanta SC,Wadi Degla
2017022,Ahmed El Ghandour,Arab Contractors Stadium,El Mokawloon,Ittihad Alex
2017023,Amin Omar,Borg El Arab Stadium,El Masry,Zamalek
2017024,Mahmoud Wafa,30 June Stadium,Alassiouty SC,Ismaily
2017025,Mohamed El Sabahi,El Shorta Stadium,El Dakhlia,Talaea El Gaish
2017026,Mohamed El Sabahi,El Ahly Stadium,Ahly SC,El Raja
2017027,Mohamed Hassan,El Max,El Raja,Entag El Harby
2017028,Said Hamza,Cairo International Stadium,El Nasr,El Mokawloon
2017029,Ibrahim Nour Eldin,Borg El Arab Stadium,Talaea El Gaish,El Masry
2017030,Mahmoud El Banna,30 June Stadium,Wadi Degla,Smouha
2017031,Tarek Samy,Alexandria Stadium,Ittihad Alex,Alassiouty SC
2017032,Mohamed El Sabahi,Petrosport Stadium,Zamalek,Enppi SC
2017033,Ibrahim Mahgoub,Suez Stadium,Petrojet,Tanta SC
2017034,Gehad Grisha,El Shorta Stadium,El Dakhlia,El Makasa
2017035,Amin Omar,Borg El Arab Stadium,Ismaily,Ahly SC
2017036,Ibrahim Nour Eldin,El Shorta Stadium,El Dakhlia,El Raja
2017037,Mahmoud Ashour,Alexandria Stadium,Smouha,Petrojet
2017038,Mohamed Adel,30 June Stadium,Wadi Degla,El Nasr
2017039,Gehad Grisha,30 June Stadium,Alassiouty SC,El Mokawloon
2017040,Mohamed Farouk,Borg El Arab Stadium,El Masry,El Makasa
2017041,Mahmoud El Banna,El Ahly Stadium,Ahly SC,Ittihad Alex
2017042,Amin Omar,El Salam Stadium,Entag El Harby,Ismaily
2017043,Mahmoud Bassiouni,Mahalla Stadium,Tanta SC,Zamalek
2017044,Walid Abdelrazak,Petrosport Stadium,Enppi SC,Talaea El Gaish
2017045,Mahmoud El Banna,Cairo International Stadium,El Nasr,Alassiouty SC
2017046,Amin Omar,Gehaz El Reyada Stadium,Talaea El Gaish,Tanta SC
2017047,Mahmoud Ashour,Petrosport Stadium,Enppi SC,El Makasa
2017048,Mohamed Adel,Alexandria Stadium,Ittihad Alex,Entag El Harby
2017049,Mohamed Maarouf,El Max,El Raja,El Masry
2017050,Mohamed Abou-Khater,Suez Stadium,Petrojet,Wadi Degla
2017051,Mahmoud Nagy,Ismailia Stadium,Ismaily,El Dakhlia
2017052,Mohamed Farouk,Petrosport Stadium,Zamalek,Smouha
2017053,Ibrahim Nour Eldin,Petrosport Stadium,El Mokawloon,Ahly SC
2017054,Ahmed El Ghandour,Tanta Stadium,Tanta SC,El Makasa
2017055,Gehad Grisha,Alexandria Stadium,Smouha,Talaea El Gaish
2017056,Osama Ismail,El Shorta Stadium,El Dakhlia,Ittihad Alex
2017057,Mahmoud El Banna,Borg El Arab Stadium,El Masry,Ismaily
2017058,Mohamed Youssef,Petrosport Stadium,Enppi SC,El Raja
2017059,Ibrahim Nour Eldin,El Salam Stadium,Entag El Harby,El Mokawloon
2017060,Mohamed Saber,Suez Stadium,Petrojet,El Nasr
2017061,Amin Omar,Cairo International Stadium,Wadi Degla,Zamalek
2017062,Gehad Grisha,Cairo International Stadium,Ahly SC,Alassiouty SC
2017063,Mohamed Farouk,Arab Contractors Stadium,El Mokawloon,El Dakhlia
2017064,Mohamed Maarouf,Ismailia Stadium,Ismaily,Enppi SC
2017065,Mohamed El Hanafy,Alexandria Stadium,El Raja,Tanta SC
2017066,Mohamed El Sabahi,Cairo International Stadium,Zamalek,Petrojet
2017067,Ahmed El Ghandour,30 June Stadium,Alassiouty SC,Entag El Harby
2017068,Ibrahim Nour Eldin,Borg El Arab Stadium,Ittihad Alex,El Masry
2017069,Mahmoud Ashour,Gehaz El Reyada Stadium,Talaea El Gaish,Wadi Degla
2017070,Mohamed Adel,Cairo International Stadium,El Makasa,Smouha
2017071,Mohamed Adel,Cairo International Stadium,El Nasr,Ahly SC
2017072,Mahmoud Ashour,El Shorta Stadium,El Dakhlia,Alassiouty SC
