match_id,Referee,Stadium,Home team,Away team
2018000,Tarek Magdi,Alexandria Stadium,Ittihad Alex,El Mokawloon
2018001,Amin Omar,Egyptian Army Stadium,Petrojet,Zamalek
2018002,Mohamed Abou-Khater,El Shorta Stadium,El Dakhlia,Wadi Degla
2018003,Abdelaziz El Sayed,El Salam Stadium,Entag El Harby,Harras Hodoud
2018004,Mohamed El Sabahi,Petrosport Stadium,Nogoom FC,Talaea El Gaish
2018005,Mohamed Maarouf,Borg El Arab Stadium,El Gouna,El Masry
2018006,Gehad Grisha,El Ahly Stadium,Ahly SC,Ismaily
2018007,Ahmed El Ghandour,Arab Contractors Stadium,El Makasa,Smouha
2018008,Mohamed Adel,Petrosport Stadium,Enppi SC,Pyramids FC
2018009,Ibrahim Nour Eldin,Petrosport Stadium,Zamalek,Ittihad Alex
2018010,Mahmoud Nagy,El Max,Harras Hodoud,El Dakhlia
2018011,Mohamed Abou-Khater,Ismailia Stadium,Ismaily,Petrojet
2018012,Mahmoud Bassiouni,Cairo Military Academy Stadium,Wadi Degla,El Gouna
2018013,Mahmoud El Banna,Borg El Arab Stadium,El Masry,Ahly SC
2018014,Ahmed El Ghandour,30 June Stadium,Pyramids FC,Entag El Harby
2018015,Amin Omar,Arab Contractors Stadium,El Mokawloon,El Makasa
2018016,Mohamed Salama,Borg El Arab Stadium,Smouha,Nogoom FC
2018017,Mohamed Maarouf,Gehaz El Reyada Stadium,Talaea El Gaish,Enppi SC
2018018,Said Hamza,El Shorta Stadium,El Dakhlia,Entag El Harby
2018019,Wael Farhan,Khaled Bichara Stadium,El Gouna,Harras Hodoud
2018020,Amin Omar,Petrosport Stadium,Enppi SC,Smouha
2018021,Tarek Magdi,Borg El Arab Stadium,Petrojet,El Masry
2018022,Gehad Grisha,Gehaz El Reyada Stadium,Talaea El Gaish,Pyramids FC
2018023,Ibrahim Nour Eldin,Petrosport Stadium,Nogoom FC,El Mokawloon
